nombres,apellidos,red social,handler
Ana Sofía,García López,instagram,@anasofia_garcia
Ana Sofía,García López,twitter,@anasofiaGL
Ana Sofía,García López,whatsapp,+54 9 11 1234-5678
Ana Sofía,García López,telegram,@anasofia_garcia
Luis,Alberto Pérez,instagram,@luisalbertoperez
Luis,Alberto Pérez,twitter,@luisalbertoP
Luis,Alberto Pérez,whatsapp,+56 9 8765-4321
Luis,Alberto Pérez,telegram,@luisalbertoperez
María del Carmen,Hernández Díaz,instagram,@mariadelcarmenhd
María del Carmen,Hernández Díaz,twitter,@mariadelcarmenH
María del Carmen,Hernández Díaz,whatsapp,+57 9 2345-6789
María del Carmen,Hernández Díaz,telegram,@mariadelcarmenhd
Juan,Carlos Ramírez,instagram,@juancarlosramirez
Juan,Carlos Ramírez,twitter,@juancarlosR
Juan,Carlos Ramírez,whatsapp,+58 9 5432-1098
Juan,Carlos Ramírez,telegram,@juancarlosramirez
Sofía,Elena Gómez,instagram,@sofiaelenagomez
Sofía,Elena Gómez,twitter,@sofiaelenag
Sofía,Elena Gómez,whatsapp,+59 9 9876-5432
Sofía,Elena Gómez,telegram,@sofiaelenagomez
Pedro,Antonio Martínez,instagram,@pedroantoniomtz
Pedro,Antonio Martínez,twitter,@pedroantoniom
Pedro,Antonio Martínez,whatsapp,+60 9 1111-2222
Pedro,Antonio Martínez,telegram,@pedroantoniomtz
Lucía,Isabel Rodríguez,instagram,@luciaisabelrdz
Lucía,Isabel Rodríguez,twitter,@luciaisabelR
Lucía,Isabel Rodríguez,whatsapp,+61 9 3333-4444
Lucía,Isabel Rodríguez,telegram,@luciaisabelrdz
Alejandro,Javier Sánchez,instagram,@alejandrojsanchez
Alejandro,Javier Sánchez,twitter,@alejandrojs
Alejandro,Javier Sánchez,whatsapp,+62 9 5555-6666
Alejandro,Javier Sánchez,telegram,@alejandrojsanchez
Valeria,Daniela Torres,instagram,@valerianatorres
Valeria,Daniela Torres,twitter,@valerianatorres
Valeria,Daniela Torres,whatsapp,+63 9 7777-8888
Valeria,Daniela Torres,telegram,@valerianatorres
Gabriel,Esteban González,instagram,@gabrielestebang
Gabriel,Esteban González,twitter,@gabrielestebanG
Gabriel,Esteban González,whatsapp,+64 9 9999-0000
